#1naE	2naP1	3naP1er	4csE	5csP1	6csp1e	7coE1	8coP1	9coP1e	10coE2	11coP2	12coP2e
#degrees	volts	
65	0.042	0.0042	293	0.02075	0.002075
70	0.0275	0.00275	287.5	0.035	0.0035
76.5	0.065	0.0065	280.5	0.104	0.0104
?	?	?			297.5	0.031	0.0031
