#1naE	2naP1	3naP1er	4csE	5csP1	6csp1e	7coE1	8coP1	9coP1e	10coE2	11coP2	12coP2e
0.511	309.10	0.24	1
0.662	406.35	0.17	2
1.186	705.79	0.58	3
1.289	777.68	1.74	4
1.348	808.58	0.50	5
